id,quote_id,tag_id,"created_at","updated_at"
1,3,1,"2020-08-31 10:41:38.743002","2020-08-31 10:41:38.743002"
2,3,2,"2020-08-31 10:41:38.748145","2020-08-31 10:41:38.748145"
3,4,1,"2020-08-31 10:43:08.630748","2020-08-31 10:43:08.630748"
4,4,3,"2020-08-31 10:43:08.637776","2020-08-31 10:43:08.637776"
5,5,4,"2020-08-31 10:46:52.754723","2020-08-31 10:46:52.754723"
6,5,5,"2020-08-31 10:46:52.760476","2020-08-31 10:46:52.760476"
7,6,4,"2020-08-31 10:47:10.524200","2020-08-31 10:47:10.524200"
8,6,5,"2020-08-31 10:47:10.528633","2020-08-31 10:47:10.528633"
9,7,4,"2020-08-31 10:48:50.880154","2020-08-31 10:48:50.880154"
10,7,5,"2020-08-31 10:48:50.884350","2020-08-31 10:48:50.884350"
11,7,6,"2020-08-31 10:48:50.890372","2020-08-31 10:48:50.890372"
12,8,6,"2020-08-31 10:49:35.622322","2020-08-31 10:49:35.622322"
13,8,4,"2020-08-31 10:49:35.626428","2020-08-31 10:49:35.626428"
14,9,7,"2020-08-31 10:50:48.975578","2020-08-31 10:50:48.975578"
15,9,8,"2020-08-31 10:50:48.980420","2020-08-31 10:50:48.980420"
16,9,9,"2020-08-31 10:50:49.015558","2020-08-31 10:50:49.015558"
17,10,7,"2020-08-31 10:51:35.327993","2020-08-31 10:51:35.327993"
18,10,8,"2020-08-31 10:51:35.332874","2020-08-31 10:51:35.332874"
19,11,7,"2020-08-31 10:53:32.646466","2020-08-31 10:53:32.646466"
20,11,10,"2020-08-31 10:53:32.652334","2020-08-31 10:53:32.652334"
21,12,7,"2020-08-31 10:54:38.976798","2020-08-31 10:54:38.976798"
22,13,4,"2020-08-31 10:56:34.979517","2020-08-31 10:56:34.979517"
23,13,11,"2020-08-31 10:56:34.984813","2020-08-31 10:56:34.984813"
24,13,12,"2020-08-31 10:56:34.989075","2020-08-31 10:56:34.989075"
25,14,4,"2020-08-31 10:57:41.576391","2020-08-31 10:57:41.576391"
26,14,13,"2020-08-31 10:57:41.582547","2020-08-31 10:57:41.582547"
27,15,4,"2020-08-31 10:59:46.014944","2020-08-31 10:59:46.014944"
28,15,14,"2020-08-31 10:59:46.021064","2020-08-31 10:59:46.021064"
29,16,4,"2020-08-31 11:01:01.380172","2020-08-31 11:01:01.380172"
30,16,14,"2020-08-31 11:01:01.384690","2020-08-31 11:01:01.384690"
31,17,4,"2020-08-31 11:02:36.501469","2020-08-31 11:02:36.501469"
32,17,15,"2020-08-31 11:02:36.508434","2020-08-31 11:02:36.508434"
33,17,16,"2020-08-31 11:02:36.512887","2020-08-31 11:02:36.512887"
34,18,4,"2020-08-31 11:04:04.542877","2020-08-31 11:04:04.542877"
35,18,15,"2020-08-31 11:04:04.547554","2020-08-31 11:04:04.547554"
36,18,16,"2020-08-31 11:04:04.550730","2020-08-31 11:04:04.550730"
37,19,17,"2020-08-31 11:05:28.620208","2020-08-31 11:05:28.620208"
38,19,4,"2020-08-31 11:05:28.623887","2020-08-31 11:05:28.623887"
39,20,4,"2020-08-31 11:06:27.378329","2020-08-31 11:06:27.378329"
40,20,6,"2020-08-31 11:06:27.382082","2020-08-31 11:06:27.382082"
41,21,18,"2020-08-31 11:07:35.405545","2020-08-31 11:07:35.405545"
42,22,18,"2020-08-31 11:08:13.209131","2020-08-31 11:08:13.209131"
